Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2020-05-07,-0.00010939058495262888,-0.00010939058495262888,0.0,0.0,1.0,16409.42833912387,16706.879983668292,-0.24731639699466312,73.3238754272461,68.6678295135498,69.58117099761962,0.0,0.0,0.0,0.010344493717454606,30308.38961864221,-0.07169942428348408
2020-05-08,0.0,0.0,0.0,0.0,1.0,16409.42833912387,16706.879983668292,-0.24731639699466312,75.06915283203125,69.18660125732421,69.66921337127685,0.0,0.0,0.0,0.023802307155966762,31029.799217747845,-0.04960372884721875
2020-05-11,0.00010940255256186582,0.00010940255256186582,0.0,0.0,1.0,16411.22357247025,16708.707758983848,-0.24723405148722288,76.25037384033203,69.70094413757325,69.75772472381591,0.0,0.0,0.0,0.01573510508295972,31518.05636914225,-0.03464914365017657
2020-05-12,0.0,0.0,0.0,0.0,1.0,16411.22357247025,16708.707758983848,-0.24723405148722288,75.37895965576172,70.00514869689941,69.83619747161865,1.0,0.0,0.0,-0.011428326717388249,31157.85772345863,-0.045681488633453005
2020-05-13,-0.012073901088362593,-0.013073901088362594,1.0,0.001,0.0,16196.66485874477,16506.96847418752,-0.25707563904076636,74.46884155273438,70.29547080993652,69.90718273162842,1.0,1.0,0.0,-0.012073901088362593,30781.660831180314,-0.05720383594648626
2020-05-14,0.006143054141164894,0.006143054141164894,0.0,0.0,0.0,16296.161847878344,16608.371675230956,-0.2525118144686035,74.92630767822266,70.58138771057129,69.98206806182861,1.0,1.0,0.0,0.006143054141164894,30970.75424022123,-0.051412188066622844
2020-05-15,-0.005912079343096455,-0.005912079343096455,0.0,0.0,0.0,16199.817646045743,16510.181664127358,-0.2569310239294924,74.48333740234375,70.89210891723633,70.05392070770263,1.0,1.0,0.0,-0.005912079343096455,30787.6526838375,-0.05702031447466738
2020-05-18,0.023561460582544935,0.023561460582544935,0.0,0.0,0.0,16581.509010957467,16899.18565861735,-0.23942323353969508,76.23827362060547,71.3614288330078,70.13234058380127,1.0,1.0,0.0,0.023561460582544935,31513.05474897682,-0.03480233578402159
2020-05-19,-0.005778416510527684,-0.005778416510527684,0.0,0.0,0.0,16485.694145519086,16801.535125193124,-0.24381816288453306,75.79773712158203,71.91204261779785,70.20570507049561,1.0,1.0,0.0,-0.005778416510527684,31330.95919311817,-0.04037964990284992
2020-05-20,0.01944778645834644,0.01944778645834644,0.0,0.0,0.0,16806.304404878756,17128.287792480285,-0.22911209999263127,77.27183532714844,72.4430591583252,70.280227394104,1.0,1.0,0.0,0.01944778645834644,31940.2769970411,-0.02171715825307685
