name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,risk_free_rate,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,capture_spread,missed_return_while_in_cash,avoided_downside_while_out,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,average_target_exposure,volatility_adjusted_exposure,risk_price_sma_window,risk_drawdown_threshold,risk_volatility_window,risk_max_realized_volatility,risk_sharp_loss_threshold,target_volatility,sizing_window,fallback_asset,fallback_weight,fallback_min_hold_days,fallback_cooldown_days,hybrid_fallback,cagr_20bps,sharpe_20bps,selection_score,robust_20bps,passes_selection
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,3.825350556033343,0.30016810125024485,0.25293664632560386,1.1331329651980295,1.3150895744995363,0.9996150007783303,-0.30028371024496925,3,0.5,0.7637326273990734,3.168762409000662,0.4592078008801997,1.0549690659223048,-0.1365534641619054,7.7256851182586965,0.09350121121854649,-0.02171681232607181,0.08487540402320226,AAPL,allocation_train,long_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,10,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.733086089911093,0.6926247395159315,0.04046135039516152,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.10390469887491727,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.29600585343012953,1.1199086255428674,1.348988272099849,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,3.825350556033343,0.30016810125024485,0.25293664632560386,1.1331329651980295,1.3150895744995363,0.9996150007783303,-0.30028371024496925,3,0.5,0.7637326273990734,3.168762409000662,0.4592078008801997,1.0549690659223048,-0.1365534641619054,7.7256851182586965,0.09350121121854649,-0.02171681232607181,0.08487540402320226,AAPL,allocation_train,long_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.733086089911093,0.6926247395159315,0.04046135039516152,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.10390469887491727,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.29600585343012953,1.1199086255428674,1.348988272099849,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,3.825350556033343,0.30016810125024485,0.25293664632560386,1.1331329651980295,1.3150895744995363,0.9996150007783303,-0.30028371024496925,3,0.5,0.7637326273990734,3.168762409000662,0.4592078008801997,1.0549690659223048,-0.1365534641619054,7.7256851182586965,0.09350121121854649,-0.02171681232607181,0.08487540402320226,AAPL,allocation_train,long_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.733086089911093,0.6926247395159315,0.04046135039516152,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.10390469887491727,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.29600585343012953,1.1199086255428674,1.348988272099849,True,True
AAPL_long_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,3.825350556033343,0.30016810125024485,0.25293664632560386,1.1331329651980295,1.3150895744995363,0.9996150007783303,-0.30028371024496925,3,0.5,0.7637326273990734,3.168762409000662,0.4592078008801997,1.0549690659223048,-0.1365534641619054,7.7256851182586965,0.09350121121854649,-0.02171681232607181,0.08487540402320226,AAPL,allocation_train,long_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,10,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.733086089911093,0.6926247395159315,0.04046135039516152,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.10390469887491727,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.29600585343012953,1.1199086255428674,1.348988272099849,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_5_10bps,3.8175088465553575,0.2998154692502708,0.24993212335064527,1.142556668267121,1.3237582576490483,0.940735921357903,-0.3187031157665404,3,0.5,0.7538054268696228,3.168762409000662,0.39674838153968756,0.875059033720641,-0.08156227064126587,10.728723303565202,0.09344593833537118,-0.02206944432604585,0.06645599850163109,AAPL,allocation_train,long_spy_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,10,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.712697065892235,0.6683573542486239,0.04433971164361117,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.09397749834546658,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.2956500726252729,1.1291016609859117,1.348849640408181,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,3.8175088465553575,0.2998154692502708,0.24993212335064527,1.142556668267121,1.3237582576490483,0.940735921357903,-0.3187031157665404,3,0.5,0.7538054268696228,3.168762409000662,0.39674838153968756,0.875059033720641,-0.08156227064126587,10.728723303565202,0.09344593833537118,-0.02206944432604585,0.06645599850163109,AAPL,allocation_train,long_spy_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,20,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.712697065892235,0.6683573542486239,0.04433971164361117,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.09397749834546658,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.2956500726252729,1.1291016609859117,1.348849640408181,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_5_10bps,3.8175088465553575,0.2998154692502708,0.24993212335064527,1.142556668267121,1.3237582576490483,0.940735921357903,-0.3187031157665404,3,0.5,0.7538054268696228,3.168762409000662,0.39674838153968756,0.875059033720641,-0.08156227064126587,10.728723303565202,0.09344593833537118,-0.02206944432604585,0.06645599850163109,AAPL,allocation_train,long_spy_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,20,5,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.712697065892235,0.6683573542486239,0.04433971164361117,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.09397749834546658,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.2956500726252729,1.1291016609859117,1.348849640408181,True,True
AAPL_long_spy_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_0_10bps,3.8175088465553575,0.2998154692502708,0.24993212335064527,1.142556668267121,1.3237582576490483,0.940735921357903,-0.3187031157665404,3,0.5,0.7538054268696228,3.168762409000662,0.39674838153968756,0.875059033720641,-0.08156227064126587,10.728723303565202,0.09344593833537118,-0.02206944432604585,0.06645599850163109,AAPL,allocation_train,long_spy_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,10,0,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.712697065892235,0.6683573542486239,0.04433971164361117,0.2578815331174614,3.2668464484835793,249.25,193.0,0.5003424657534247,0.09397749834546658,0.6598279285241562,,,,,,,,,cash,0.0,0,0,False,0.2956500726252729,1.1291016609859117,1.348849640408181,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_20_cool_10_10bps,3.8513565497594158,0.3013341512949339,0.25168656597897526,1.1411181346447776,1.3221153657878069,1.0034981619519336,-0.30028371024496947,3,0.5,0.7637326273990734,3.669093315684977,0.4554532578977611,1.0474599799574276,-0.1365534641619054,7.670695037919366,0.10824014874729926,-0.02055076228138275,0.08487540402320204,AAPL,allocation_train,hybrid_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,20,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.732020214856646,0.6909022918068474,0.041117923049798666,0.29998368605732706,3.322426865045363,166.66666666666666,110.0,0.5003424657534247,0.10489741892786235,0.6588352084712111,,,,,,,,,cash,0.0,0,0,False,0.29654766174740055,1.1262128979403105,1.3381262553239135,True,True
AAPL_hybrid_qqq_regime_trend_5_200_entry_0.010_exit_-0.010_hold_10_cool_10_10bps,3.8513565497594158,0.3013341512949339,0.25168656597897526,1.1411181346447776,1.3221153657878069,1.0034981619519336,-0.30028371024496947,3,0.5,0.7637326273990734,3.669093315684977,0.4554532578977611,1.0474599799574276,-0.1365534641619054,7.670695037919366,0.10824014874729926,-0.02055076228138275,0.08487540402320204,AAPL,allocation_train,hybrid_qqq_regime,0.008039496216814625,5,200,0.0,,False,0.01,-0.01,10,10,10.0,4.329226286257599,0.32188491357631666,1.0639760071469957,-0.3851591142681715,0.732020214856646,0.6909022918068474,0.041117923049798666,0.29998368605732706,3.322426865045363,166.66666666666666,110.0,0.5003424657534247,0.10489741892786235,0.6588352084712111,,,,,,,,,cash,0.0,0,0,False,0.29654766174740055,1.1262128979403105,1.3381262553239135,True,True
