Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2018-01-19,41.71637725830078,40.75235538482666,38.76803119659424,1.0,1.0,-0.0044627446125162,-0.0044627446125162,-0.0044627446125162,0.0,0.0,12657.815163293772,17243.442312501564,-0.0044627446125162,-0.0044627446125163,LONG,,,41.71637725830078,
2018-01-22,41.37508773803711,40.78332843780517,38.80568576812744,1.0,1.0,-0.0081811878857663,-0.0081811878857663,-0.0081811878857663,0.0,0.0,12554.25919921956,17102.370471145616,-0.0126074219461215,-0.0126074219461214,LONG,,,41.37508773803711,
2018-01-23,41.38443756103516,40.80705528259277,38.8400798034668,1.0,1.0,0.0002259771159216,0.0002259771159216,0.0002259771159216,0.0,0.0,12557.096174505936,17106.23521550011,-0.0123842938190503,-0.0123842938190503,LONG,,,41.38443756103516,
2018-01-24,40.725242614746094,40.79782238006592,38.8668569946289,1.0,1.0,-0.0159285708623406,-0.0159285708623406,-0.0159285708623406,0.0,0.0,12357.079578265091,16833.75733568215,-0.0281156005797141,-0.0281156005797142,LONG,,,40.725242614746094,
2018-01-25,39.99825286865234,40.80413341522217,38.88485042572022,1.0,1.0,-0.0178510844728648,-0.0178510844728648,-0.0178510844728648,0.0,0.0,12136.492306875569,16533.256511487176,-0.0454647910916251,-0.0454647910916253,LONG,,,39.99825286865234,
2018-01-26,40.09175109863281,40.8147689819336,38.90366233825684,1.0,1.0,0.0023375578500266,0.0023375578500266,0.0023375578500266,0.0,0.0,12164.862059739296,16571.903955032107,-0.0432335098209145,-0.0432335098209147,LONG,,,40.09175109863281,
2018-01-29,39.26191711425781,40.77830276489258,38.91876430511475,1.0,1.0,-0.0206983721497586,-0.0206983721497586,-0.0206983721497586,0.0,0.0,11913.069217676331,16228.892519740795,-0.0630370186950596,-0.0630370186950598,LONG,,,39.26191711425781,
2018-01-30,39.03050994873047,40.75188884735108,38.93194835662842,1.0,1.0,-0.0058939344417114,-0.0058939344417114,-0.0058939344417114,0.0,0.0,11842.854368707776,16133.240491167862,-0.0685594170811814,-0.0685594170811817,LONG,,,39.03050994873047,
2018-01-31,39.13801193237305,40.69543571472168,38.94772136688233,1.0,1.0,0.0027543064075716,0.0027543064075716,0.0027543064075716,0.0,0.0,11875.473218379446,16177.676378827582,-0.0659939443153758,-0.065993944315376,LONG,,,39.13801193237305,
2018-02-01,39.21984100341797,40.64342498779297,38.97043838500976,1.0,1.0,0.0020907825156351,0.0020907825156351,0.0020907825156351,0.0,0.0,11900.302250149329,16211.500381744036,-0.0640411407846531,-0.0640411407846534,LONG,,,39.21984100341797,
2018-02-02,37.51808166503906,40.49697551727295,38.96945304870606,1.0,1.0,-0.0433902661214409,-0.0433902661214409,-0.0433902661214409,0.0,0.0,11383.944968589763,15508.079065952325,-0.1046526447647273,-0.1046526447647274,LONG,,,37.51808166503906,
2018-02-05,36.58072280883789,40.280632972717285,38.96058479309082,1.0,1.0,-0.0249841893455508,-0.0249841893455508,-0.0249841893455508,0.0,0.0,11099.526331995188,15120.622282182796,-0.1270221726179634,-0.1270221726179637,LONG,,,36.58072280883789,
2018-02-06,38.1094970703125,40.14832649230957,38.96982269287109,1.0,1.0,0.0417918002731552,0.0417918002731552,0.0417918002731552,0.0,0.0,11563.39551958856,15752.5403086056,-0.0905388576131204,-0.0905388576131206,LONG,,,38.1094970703125,
2018-02-07,37.293678283691406,39.975462913513184,38.97409324645996,1.0,1.0,-0.021407230463207,-0.021407230463207,-0.021407230463207,0.0,0.0,11315.85524676351,15415.322047838325,-0.1100079018855278,-0.1100079018855281,LONG,,,37.293678283691406,
2018-02-08,36.26747894287109,39.751756477355954,38.96437519073486,1.0,1.0,-0.0275167102856966,-0.0275167102856966,-0.0275167102856966,0.0,0.0,11004.480136303438,14991.143097087242,-0.1344975566059031,-0.1344975566059033,LONG,,,36.26747894287109,
2018-02-09,36.71109008789063,39.53865985870361,38.961911582946776,1.0,1.0,0.0122316509983588,0.0122316509983588,0.0122316509983588,0.0,0.0,11139.083096749077,15174.50952751727,-0.1239110327800797,-0.1239110327800799,LONG,,,36.71109008789063,
2018-02-12,38.18976974487305,39.37834243774414,38.97409503936768,1.0,1.0,0.0402788272819545,0.0402788272819545,0.0402788272819545,0.0,0.0,11587.75230088237,15785.720975864511,-0.0886231965858026,-0.0886231965858027,LONG,,,38.18976974487305,
2018-02-13,38.57234573364258,39.24767265319824,38.99629978179932,1.0,1.0,0.0100177610738512,0.0100177610738512,0.0100177610738512,0.0,0.0,11703.83563481558,15943.858556979205,-0.0794932415209487,-0.0794932415209491,LONG,,,38.57234573364258,
2018-02-14,39.28351593017578,39.11854953765869,39.03185855865478,1.0,1.0,0.0184373074285943,0.0184373074285943,0.0184373074285943,0.0,0.0,11919.622850508413,16237.820378792256,-0.0625215754247717,-0.0625215754247719,LONG,,,39.28351593017578,
2018-02-15,40.60258102416992,39.05350952148437,39.08410179138183,0.0,1.0,0.0335780813595887,0.0335780813595887,0.0335780813595887,0.0,0.0,12319.8609163584,16783.05523257373,-0.0310428486115255,-0.0310428486115259,CASH,,,,40.60258102416992
2018-02-16,40.47114562988281,38.991247940063474,39.13815185546875,0.0,0.0,-0.0032371191922224,-0.001,-0.0032371191922224,1.0,0.001,12307.54105544204,16728.726482376234,-0.032011805762914,-0.0341794784027268,CASH,,40.47114562988281,,40.47114562988281
2018-02-20,40.33502197265625,38.93924465179443,39.18480812072754,0.0,0.0,-0.0033634742755107,-0.0,-0.0033634742755107,0.0,0.0,12307.54105544204,16672.459841190706,-0.032011805762914,-0.0374279908818796,CASH,,,,40.33502197265625
2018-02-21,40.151954650878906,38.87762050628662,39.227094955444336,0.0,0.0,-0.0045386691967453,-0.0,-0.0045386691967453,0.0,0.0,12307.54105544204,16596.78906127552,-0.032011805762914,-0.0417967868093132,CASH,,,,40.151954650878906
2018-02-22,40.487579345703125,38.86573734283447,39.27495056152344,0.0,0.0,0.0083588631672473,0.0,0.0083588631672473,0.0,0.0,12307.54105544204,16735.51935005439,-0.032011805762914,-0.0337872972638356,CASH,,,,40.487579345703125
2018-02-23,41.19171142578125,38.92541027069092,39.32789112091064,0.0,0.0,0.0173913109021879,0.0,0.0173913109021879,0.0,0.0,12307.54105544204,17026.57197018077,-0.032011805762914,-0.0169835917529076,CASH,,,,41.19171142578125
2018-02-26,42.00615692138672,39.02113056182861,39.3896981048584,0.0,0.0,0.0197720722789809,0.0,0.0197720722789809,0.0,0.0,12307.54105544204,17363.222581838454,-0.032011805762914,0.0,CASH,,,,42.00615692138672
2018-02-27,41.87003326416016,39.15153636932373,39.44858329772949,0.0,0.0,-0.0032405644125291,-0.0,-0.0032405644125291,0.0,0.0,12307.54105544204,17306.955940652922,-0.032011805762914,-0.0032405644125294,CASH,,,,41.87003326416016
2018-02-28,41.80665588378906,39.29034366607666,39.50916393280029,0.0,0.0,-0.0015136692147159,-0.0,-0.0015136692147159,0.0,0.0,12307.54105544204,17280.758934245114,-0.032011805762914,-0.0047493284846555,CASH,,,,41.80665588378906
2018-03-01,41.07435607910156,39.38716087341309,39.55797275543213,0.0,0.0,-0.0175163449265851,-0.0,-0.0175163449265851,0.0,0.0,12307.54105544204,16978.063200159708,-0.032011805762914,-0.0221824825353338,CASH,,,,41.07435607910156
2018-03-02,41.358360290527344,39.49408683776856,39.60983131408691,0.0,0.0,0.0069143923006083,0.0,0.0069143923006083,0.0,0.0,12307.54105544204,17095.456189630135,-0.032011805762914,-0.0154214686211762,CASH,,,,41.358360290527344
2018-03-05,41.50152969360352,39.69325923919678,39.66186363220215,1.0,0.0,0.0034616798652185,0.0,0.0034616798652185,0.0,0.0,12307.54105544204,17154.635186108502,-0.032011805762914,-0.0120131729433756,LONG,,,41.50152969360352,
