source,variant,cagr,sharpe,max_drawdown,turnover,trades,cost_drag
v3_allocation,long_cash_hysteresis,0.2761369290015345,1.1170467087008844,-0.3006090505868739,1.1674387822634018,4,0.030231792950050185
v3_allocation,long_cash_hysteresis,0.2761369290015345,1.1170467087008844,-0.3006090505868739,1.1674387822634018,4,0.030231792950050185
v3_allocation,long_cash_hysteresis,0.2761369290015345,1.1170467087008844,-0.3006090505868739,1.1674387822634018,4,0.030231792950050185
v3_allocation,long_cash_hysteresis,0.28664718126856936,1.1007267383405956,-0.3725137794186073,0.500330906684315,2,0.013669486009327159
v3_allocation,hybrid_qqq_regime,0.30187354979979264,1.1383051124375951,-0.30028371024496947,3.0019854401058903,3,0.08913323248092908
v3_allocation,hybrid_qqq_regime,0.30187354979979264,1.1383051124375951,-0.30028371024496947,3.0019854401058903,3,0.08913323248092908
v3_allocation,hybrid_qqq_regime,0.30187354979979264,1.1383051124375951,-0.30028371024496947,3.0019854401058903,3,0.08913323248092908
v3_allocation,hybrid_qqq_regime,0.30187354979979264,1.1383051124375951,-0.30028371024496947,3.0019854401058903,3,0.08913323248092908
v3_allocation,long_qqq_regime,0.30166042936088866,1.142275698827295,-0.30028371024496925,3.168762409000662,3,0.09352418501472837
v3_allocation,long_qqq_regime,0.30166042936088866,1.142275698827295,-0.30028371024496925,3.168762409000662,3,0.09352418501472837
v3_allocation,long_qqq_regime,0.30166042936088866,1.142275698827295,-0.30028371024496925,3.168762409000662,3,0.09352418501472837
v3_allocation,hybrid_spy_regime,0.30241309379734327,1.15070823410616,-0.3187031157665404,3.168762409000662,3,0.09443023979159992
v3_allocation,hybrid_spy_regime,0.30241309379734327,1.15070823410616,-0.3187031157665404,3.168762409000662,3,0.09443023979159992
v3_allocation,hybrid_spy_regime,0.30241309379734327,1.15070823410616,-0.3187031157665404,3.168762409000662,3,0.09443023979159992
v3_allocation,hybrid_spy_regime,0.30241309379734327,1.15070823410616,-0.3187031157665404,3.168762409000662,3,0.09443023979159992
v3_allocation,long_qqq_regime,0.30016810125024485,1.1331329651980295,-0.30028371024496925,3.168762409000662,3,0.09350121121854649
v3_allocation,long_qqq_regime,0.30016810125024485,1.1331329651980295,-0.30028371024496925,3.168762409000662,3,0.09350121121854649
v3_allocation,long_qqq_regime,0.30016810125024485,1.1331329651980295,-0.30028371024496925,3.168762409000662,3,0.09350121121854649
v3_allocation,long_qqq_regime,0.30016810125024485,1.1331329651980295,-0.30028371024496925,3.168762409000662,3,0.09350121121854649
v3_allocation,long_spy_regime,0.2998154692502708,1.142556668267121,-0.3187031157665404,3.168762409000662,3,0.09344593833537118
v3_allocation,long_spy_regime,0.2998154692502708,1.142556668267121,-0.3187031157665404,3.168762409000662,3,0.09344593833537118
