Date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,SPY,QQQ,BIL
2021-08-02,141.845947265625,273.3408508300781,19.681921005249023,166.57400512695312,349.2095947265625,133.66921997070312,410.0386657714844,354.2292785644531,77.2816162109375
2021-08-03,143.63946533203125,275.548095703125,19.746700286865234,168.31199645996094,348.5050964355469,134.4379119873047,413.37457275390625,356.37640380859375,77.2816162109375
2021-08-04,143.2398223876953,274.9626770019531,20.204116821289062,167.73599243164062,356.1253662109375,133.9378662109375,411.34112548828125,356.89129638671875,77.2816162109375
2021-08-05,143.3470001220703,277.85137939453125,20.565866470336914,168.79949951171875,360.1437683105469,135.05393981933594,413.9461669921875,359.15509033203125,77.2816162109375
2021-08-06,142.66366577148438,277.7938537597656,20.29580307006836,167.2469940185547,360.6795654296875,134.54544067382812,414.63018798828125,357.5810852050781,77.29005432128906
2021-08-09,142.61483764648438,276.7093200683594,20.22504425048828,167.093505859375,358.79437255859375,135.70962524414062,414.2928771972656,358.2418212890625,77.29005432128906
2021-08-10,142.1365203857422,274.8955383300781,19.867280960083008,166.03399658203125,358.3181457519531,135.60458374023438,414.8081970214844,356.4055480957031,77.2816162109375
2021-08-11,142.3903045654297,275.3849792480469,19.6310977935791,164.60549926757812,357.1571960449219,135.08120727539062,415.8390197753906,355.79339599609375,77.2816162109375
2021-08-12,145.3482666015625,278.12969970703125,19.836389541625977,165.1750030517578,359.8262634277344,135.98814392089844,417.085205078125,357.07586669921875,77.2816162109375
2021-08-13,145.55328369140625,281.04718017578125,20.1184139251709,164.69850158691406,360.3521728515625,136.51695251464844,417.84423828125,358.32916259765625,77.29005432128906
2021-08-16,147.52520751953125,282.7266540527344,19.88123321533203,164.94949340820312,363.705810546875,137.09385681152344,418.8281555175781,358.484619140625,77.2731704711914
2021-08-17,146.6173095703125,281.2679138183594,19.390926361083984,162.09800720214844,355.6589660644531,135.4603271484375,416.0826416015625,355.3271789550781,77.2731704711914
2021-08-18,142.87843322753906,279.5467834472656,18.974367141723633,160.06100463867188,352.6823425292969,134.25851440429688,411.528564453125,351.9072265625,77.2731704711914
2021-08-19,143.21035766601562,285.3544006347656,19.729755401611328,159.3874969482422,352.35491943359375,134.4874725341797,412.1658020019531,353.607421875,77.29005432128906
2021-08-20,144.6649169921875,292.6524963378906,20.744247436523438,159.99749755859375,356.5718078613281,136.2216033935547,415.4454040527344,357.2702331542969,77.29005432128906
2021-08-23,146.1487274169922,292.9312744140625,21.88231086730957,163.2935028076172,360.52081298828125,138.81065368652344,419.099853515625,362.61376953125,77.2731704711914
2021-08-24,146.0608673095703,290.9794616699219,21.717878341674805,165.28900146484375,362.66400146484375,140.01992797851562,419.76519775390625,363.72125244140625,77.2731704711914
2021-08-25,144.83087158203125,290.39288330078125,22.136436462402344,164.95899963378906,365.5216064453125,140.83021545410156,420.64599609375,364.13916015625,77.2731704711914
2021-08-26,144.0303497314453,287.58514404296875,21.99193572998047,165.8000030517578,361.54278564453125,140.19732666015625,418.1628112792969,361.8268737792969,77.2816162109375
2021-08-27,145.06515502929688,288.1909484863281,22.557971954345703,167.48150634765625,369.7285461425781,142.73831176757812,421.901611328125,365.3438415527344,77.2816162109375
2021-08-30,149.47763061523438,291.912109375,22.609792709350586,171.07850646972656,377.6960144042969,143.31964111328125,423.7569580078125,369.4438171386719,77.2816162109375
2021-08-31,148.21829223632812,290.2679443359375,22.311767578125,173.5395050048828,376.4259948730469,143.4257049560547,423.1291198730469,369.1426086425781,77.2731704711914
2021-09-01,148.8821563720703,290.2197265625,22.367589950561523,173.9499969482422,379.0751647949219,143.93914794921875,423.35400390625,369.7547607421875,77.2731704711914
2021-09-02,149.99502563476562,289.5659484863281,22.322736740112305,173.156005859375,372.3579406738281,142.02760314941406,424.6565246582031,369.579833984375,77.29005432128906
2021-09-03,150.6295623779297,289.5562744140625,22.768278121948242,173.90249633789062,373.3302917480469,142.47613525390625,424.5534362792969,370.716552734375,77.2731704711914
2021-09-07,152.96275329589844,288.63330078125,22.587865829467773,175.46449279785156,379.2042236328125,143.01235961914062,423.03546142578125,371.2412109375,77.2731704711914
2021-09-08,151.42030334472656,288.6621398925781,22.265918731689453,176.27499389648438,374.630126953125,142.42808532714844,422.52008056640625,369.9489440917969,77.2731704711914
2021-09-09,150.40505981445312,285.8160095214844,22.104454040527344,174.20799255371094,375.0567626953125,142.27940368652344,420.71160888671875,368.67626953125,77.2731704711914
2021-09-10,145.42637634277344,284.335205078125,22.404470443725586,173.45750427246094,375.7414245605469,139.63780212402344,417.3944091796875,365.8782043457031,77.2816162109375
2021-09-13,145.99261474609375,285.5659484863281,22.079538345336914,172.85850524902344,373.5783996582031,141.0814971923828,418.4627380371094,365.62554931640625,77.2816162109375
2021-09-14,144.59654235839844,288.25830078125,22.16924476623535,172.5,373.59814453125,141.29161071777344,416.2043762207031,364.5860595703125,77.2731704711914
2021-09-15,145.48492431640625,293.0947570800781,22.267913818359375,173.7895050048828,371.008544921875,143.1600799560547,419.6808776855469,367.29669189453125,77.2731704711914
2021-09-16,145.25064086914062,293.4793395996094,22.16924476623535,174.41200256347656,370.15521240234375,142.3477783203125,419.01556396484375,367.5492248535156,77.2816162109375
2021-09-17,142.58555603027344,288.3351745605469,21.828359603881836,173.12600708007812,361.88018798828125,139.56248474121094,414.9338684082031,363.1966857910156,77.2731704711914
